abides;соблюдает редакционная;əˈbaɪdz
therefore;следовательно;ˈðɛrˌfɔr
these;эти;ðiz
thief;вор;θif
thoroughly;архивирование;ˈθəroʊli
those;те;ðoʊz
though;хотя;ðoʊ
threat;соблазн;θrɛt
through;через;θru
throughput;пропускную способность;θˈruˌpʊt
thus;таким образом;ðəs
tie;связь;taɪ
tied;искусство;taɪd
tighter;приоритет;ˈtaɪtər
time-consuming;трудоемкость;time-consuming*
tolerance;терпимость;ˈtɑlərəns
tolerant;терпимый;ˈtɑlərənt
torn;разорванный;tɔrn
tout;зазывал;taʊt
toward;к;təˈwɔrd
track;предоставить;træk
tradeoff;компромисс;ˈtreɪˌdɔf
transacting;совершать сделки;transacting*
transfers;переводы;ˈtrænsfərz
transition;переход;trænˈzɪʃən
transitions;переходы;trænˈzɪʃənz
transmission;передача;trænzˈmɪʃən
trial;испытание;traɪəl
trial-and-error;проб и ошибок;trial-and-error*
tricky;хитрый;ˈtrɪki
trust;доверять;trəst
turn;поворот;tərn
turns;повороты;tərnz
unable;неспособен;əˈneɪbəl
unbonding;несвязанность;unbonding*
unclear;неясно;ənˈklɪr
underlying;лежащий в основе;ˌəndərˈlaɪɪŋ
undermine;подрывать;ˈəndərˌmaɪn
underscore;подшаблон;ˌəndərˈskɔr
unfalsifiable;неопровержимый;unfalsifiable*
unforgeable;неподдельный;unforgeable*
unintentionally;непреднамеренно;ˌənɪnˈtɛnʃənəli
unless;если;ənˈlɛs
unlike;непохожий;ənˈlaɪk
unnecessary;особенно;ənˈnɛsəˌsɛri
unsealer;распечатка;unsealer*
unsealing;распечатывание;unsealing*
unsustainable;неустойчивый;ˌənsəˈsteɪnəbəl
untouched;нетронутый;ənˈtəʧt
urn;урна;ərn
utensil;отказаться;juˈtɛnsəl
validator-node-betters;валидатор-ноды-улучшители;validator-node-betters*
validity;действительность;vəˈlɪdɪti
valued;ценится;ˈvæljud
variation;вариация;ˌvɛriˈeɪʃən
varies;варьируется;ˈvɛriz
various;различный;ˈvɛriəs
vary;варьируются;ˈvɛri
vast;nfts;væst
vehicles;соф. два дружественных;ˈviɪkəlz
verge;граница;vərʤ
verifiably;обширный;verifiably*
via;улучшение;ˈviə
viable;жизнеспособность;ˈvaɪəbəl
vice-versa;связки;vice-versa*
vulnerabilities;защита от несанкционированного доступа;ˌvəlnərəˈbɪlɪtiz
vulnerability;сохранение;ˌvəlnərəˈbɪlɪti
vulnerable;уязвимость;ˈvəlnərəbəl
wallet;кошелек;ˈwɔlət
wallets;кошельки;ˈwɔləts
warranty;уместное;ˈwɔrənti
wasted;усилия;ˈweɪstɪd
weaknesses;слабости;ˈwiknəsɪz
weaknessessatoshi;слабости;weaknessessatoshi*
wealth;богатство;wɛlθ
wealthy;богатые;ˈwɛlθi
well;хорошо;wɛl
went;пошел;wɛnt
whatever;подстановочные знаки;ˌwəˈtɛvər
whether;отзыв;ˈwɛðər
whichever;более жесткий;wɪˈʧɛvər
whom;кем;hum
whose;чье;huz
wildcard;подчеркивание;ˈwaɪldˌkɑrd
wildcards;одновременно;wildcards*
willing;не желают;ˈwɪlɪŋ
wishing;желание;ˈwɪʃɪŋ
within;внутри;wɪˈθɪn
won;выигранный;wən
worth;стоит;wərθ
worthless;бесполезный;ˈwərθləs
yields;оценка;jildz
