abides;пребывает;əˈbaɪdz;
sequencing;последовательность действий;ˈsikwənsɪŋ;
sequentializes;упорядочивает;sequentializes*;
settling;поселение;ˈsɛtəlɪŋ;
sharded;сегментированный;sharded*;
sharding;шардинг;sharding*;
shards;осколки;ʃɑrdz;
sharing;совместное использование;ˈʃɛrɪŋ;
sifted;просеянный;ˈsɪftɪd;
sign;знак;saɪn;
significant;значительный;sɪgˈnɪfɪkənt;
signing;подписание;ˈsaɪnɪŋ;
silverware;столовое серебро;ˈsɪlvərˌwɛr;
simultaneously;одновременно;ˌsaɪməlˈteɪniəsli;
sincerity;искренность;sɪnˈsɛrəti;
sins;грехи;sɪnz;
sketch;набросок;skɛʧ;
slashed;порезанный;slæʃt;
slightly;немного;sˈlaɪtli;
socialist;социалист;ˈsoʊʃəlɪst;
software-friendly;дружественный к программному обеспечению;software-friendly*;
soldering;пайка;ˈsɑdərɪŋ;
somebody;кто-нибудь;ˈsəmˌbɑdi;
somehow;как-то;ˈsəmˌhaʊ;
somename;какое-то имя;somename*;
someone;кто-то;ˈsəmˌwən;
spark;Искра;spɑrk;
spawning;нерест;ˈspɔnɪŋ;
spawns;нерестится;spɔnz;
specified;указан;ˈspɛsəˌfaɪd;
spend;проводить;spɛnd;
spending;траты;ˈspɛndɪŋ;
spent;потраченный;spɛnt;
spirit;дух;ˈspɪrɪt;
spit;плевать;spɪt;
spot;место;spɑt;
sprawling;раскидистый;ˈsprɔlɪŋ;
spread;распространение;sprɛd;
spreads;спреды;sprɛdz;
spreadsheet;электронная таблица;ˈsprɛdˌʃit;
stake;ставка;steɪk;
stake-based;основанный на ставках;stake-based*;
staked;поставленный на ставку;steɪkt;
stakers;ставки;stakers*;
stakes;ставки;steɪks;
staking;ставка;ˈsteɪkɪŋ;
staking-compatible;совместимость со стейкингом;staking-compatible*;
standing;стоя;ˈstændɪŋ;
starve;голодать;stɑrv;
state-roots;государственные корни;state-roots*;
stdoutack;stdoutack;stdoutack*;
steal;воровать;stil;
steer;рулить;stɪr;
storing;хранение;ˈstɔrɪŋ;
strategies;стратегии;ˈstrætəʤiz;
strict;строгий;strɪkt;
strives;стремится;straɪvz;
stronger;сильнее;ˈstrɔŋgər;
struggles;борьба;ˈstrəgəlz;
submit;представить;səbˈmɪt;
subpattern;подшаблон;subpattern*;
subsequent;последующий;ˈsəbsəkwənt;
substantial;существенный;səbˈstænʃəl;
substantially;существенно;səbˈstænʃəli;
substitution;подмена;ˌsəbstɪˈtuʃən;
succeeding;успешный;səkˈsidɪŋ;
suffer;страдать;ˈsəfər;
suggested;предложенный;səˈʤɛstɪd;
suitable;подходящее;ˈsutəbəl;
sumprod;отстойник;sumprod*;
supermajority;подавляющее большинство;ˈsupərməˌʤɔrɪti;
supplied;поставлен;səˈplaɪd;
supposed;предполагаемый;səˈpoʊzd;
sure;Конечно;ʃʊr;
surfaced;всплыл;ˈsərfɪst;
sustain;поддерживать;səˈsteɪn;
sustainability;устойчивость;səˌsteɪnəˈbɪlɪti;
sybil;сибилла;ˈsɪbɪl;
synchronicity;синхронность;sɪŋkrəˈnɪsɪti;
synthesize;синтезировать;ˈsɪnθəˌsaɪz;
takeover;перенимать;ˈteɪˌkoʊvər;
tamper-proof;защищенный от взлома;tamper-proof*;
tamper-resistant;устойчивый к взлому;tamper-resistant*;
tampered;подделанный;ˈtæmpərd;
tampering;вмешательство;ˈtæmpərɪŋ;
temporal;временный;ˈtɛmpərəl;
tempting;соблазнительный;ˈtɛmptɪŋ;
tendermint;нежная мята;tendermint*;
tends;имеет тенденцию;tɛndz;
terms;термины;tərmz;
them;их;ðɛm;
themselves;сами себя;ðɛmˈsɛlvz;
there;там;ðɛr;
thereby;тем самым;ˈðɛrˈbaɪ;
therefore;следовательно;ˈðɛrˌfɔr;
these;эти;ðiz;
thief;вор;θif;
thoroughly;тщательно;ˈθəroʊli;
those;те;ðoʊz;
though;хоть;ðoʊ;
threat;угроза;θrɛt;
through;через;θru;
throughput;пропускная способность;θˈruˌpʊt;
thus;таким образом;ðəs;
tie;галстук;taɪ;
tied;связанный;taɪd;
tighter;плотнее;ˈtaɪtər;
time-consuming;кропотливый;time-consuming*;
tolerance;толерантность;ˈtɑlərəns;
tolerant;терпимый;ˈtɑlərənt;
torn;разорванный;tɔrn;
tout;рекламировать;taʊt;
toward;к;təˈwɔrd;
track;отслеживать;træk;
tradeoff;компромисс;ˈtreɪˌdɔf;
transacting;совершение сделок;transacting*;
transfers;переводы;ˈtrænsfərz;
transition;переход;trænˈzɪʃən;
transitions;переходы;trænˈzɪʃənz;
transmission;коробка передач;trænzˈmɪʃən;
trial;пробный;traɪəl;
trial-and-error;методом проб и ошибок;trial-and-error*;
tricky;сложный;ˈtrɪki;
trust;доверять;trəst;
trusted;доверенный;ˈtrəstɪd;
turn;повернуть;tərn;
turns;повороты;tərnz;
unable;не в состоянии;əˈneɪbəl;
unalterable;неизменный;əˈnɔltərəbəl;
unbonding;разобщение;unbonding*;
unclear;неясно;ənˈklɪr;
underlying;лежащий в основе;ˌəndərˈlaɪɪŋ;
undermine;подорвать;ˈəndərˌmaɪn;
underscore;нижнее подчеркивание;ˌəndərˈskɔr;
unfalsifiable;необъяснимый;unfalsifiable*;
unforgeable;неподдельный;unforgeable*;
unfortunately;к несчастью;ənˈfɔrʧənətli;
unintentionally;непреднамеренно;ˌənɪnˈtɛnʃənəli;
unless;пока не;ənˈlɛs;
unlike;в отличие;ənˈlaɪk;
unnecessary;ненужный;ənˈnɛsəˌsɛri;
unsealer;распечатывающий;unsealer*;
unsealing;распечатывание;unsealing*;
unsustainable;неустойчивый;ˌənsəˈsteɪnəbəl;
untouched;нетронутый;ənˈtəʧt;
urn;урна;ərn;
utensil;посуда;juˈtɛnsəl;
validator-node-betters;валидатор-узел-беттеры;validator-node-betters*;
validity;срок действия;vəˈlɪdɪti;
valued;ценится;ˈvæljud;
variation;вариация;ˌvɛriˈeɪʃən;
varies;варьируется;ˈvɛriz;
various;разные;ˈvɛriəs;
vary;отличаться;ˈvɛri;
vast;огромный;væst;
vehicles;автомобили;ˈviɪkəlz;
verge;грани;vərʤ;
verifiably;достоверно;verifiably*;
via;через;ˈviə;
viable;жизнеспособный;ˈvaɪəbəl;
vice-versa;наоборот;vice-versa*;
vulnerabilities;уязвимости;ˌvəlnərəˈbɪlɪtiz;
vulnerability;уязвимость;ˌvəlnərəˈbɪlɪti;
vulnerable;уязвимый;ˈvəlnərəbəl;
wallet;кошелек;ˈwɔlət;
wallets;кошельки;ˈwɔləts;
warranty;гарантия;ˈwɔrənti;
wasted;потрачено;ˈweɪstɪd;
weaknesses;слабые стороны;ˈwiknəsɪz;
weaknessessatoshi;слабость;weaknessessatoshi*;
wealth;богатство;wɛlθ;
wealthy;богатый;ˈwɛlθi;
well;хорошо;wɛl;
well-formedness;правильная форма;well-formedness*;
went;пошли;wɛnt;
whatever;что бы ни;ˌwəˈtɛvər;
whether;ли;ˈwɛðər;
whichever;какой бы ни;wɪˈʧɛvər;
whom;кому;hum;
whose;чей;huz;
wildcard;подстановочный знак;ˈwaɪldˌkɑrd;
wildcards;подстановочные знаки;wildcards*;
willing;готовый;ˈwɪlɪŋ;
wishing;желая;ˈwɪʃɪŋ;
within;в;wɪˈθɪn;
won;победил;wən;
worth;ценность;wərθ;
worthless;бесполезный;ˈwərθləs;
wouldn;не стал бы;wouldn*;
yields;дает;jildz;
